"number","title","state","author","createdAt","updatedAt","assignees","labels"
2880,"Request From Flutter Team: Migrate AppDelegate.window API usage","OPEN","hellohuanlin","2026-07-29T22:11:07Z","2026-07-29T22:11:07Z","","enhancement"
2878,"[Android] Soft keyboard never opens app-wide after exiting HTML5 fullscreen (still reproduces, follow-up to #1176)","OPEN","nosovk","2026-07-27T19:27:06Z","2026-07-27T19:27:06Z","",""
2875,"Crash on Windows when WebView2 returns an unknown permission resource","OPEN","Zeinab-Kouhkan","2026-07-21T10:50:47Z","2026-07-21T10:50:47Z","","bug"
2873,"Restrict FileProvider paths to follow Android security guidance","OPEN","waleedf112","2026-07-21T10:35:52Z","2026-07-21T10:35:52Z","","bug"
2872,"On Windows, the API InAppWebViewController.loadFile({required String assetFilePath}) can't work,","OPEN","zouzg7829","2026-07-18T11:06:16Z","2026-07-18T11:08:25Z","","bug"
2868,"Android custom text selection toolbar shows ""false"" for icon-only menu items on Samsung One UI","OPEN","changs97","2026-07-16T01:20:54Z","2026-07-20T03:15:15Z","","bug"
2867,"[iOS] Crash `EXC_BAD_ACCESS (code=1, address=0x0)` in `shouldOverrideUrlLoading` during multi-window navigation","OPEN","bossPsw","2026-07-13T01:26:03Z","2026-07-13T01:26:03Z","","bug"
2863,"Android: allow setting the native WebView background color (setBackgroundColor)","OPEN","Manuito83","2026-07-05T06:52:54Z","2026-07-05T06:52:54Z","",""
2862,"Unable to build on ubuntu 26.04 or 24.04","OPEN","bailyzheng","2026-07-01T00:23:40Z","2026-07-01T00:23:40Z","","bug"
2861,"[Linux] White screen when using DISABLE_GL=1 to fallback to software rendering","OPEN","paul-in","2026-06-29T12:29:34Z","2026-07-16T21:37:43Z","","bug"
2859,"iOS 17.2+: scroll stuck before the bottom after dismissing the keyboard (stale negative contentInset, regression of #1947)","OPEN","Manuito83","2026-06-27T20:57:39Z","2026-06-27T20:57:39Z","",""
2856,"Android: Null is not a subtype of String in AndroidInAppWebViewController._handleMethod after upgrading to 6.2.0-beta.3","OPEN","changs97","2026-06-26T04:56:13Z","2026-08-04T02:34:22Z","","bug"
2855,"Custom ContextMenu.menuItems don't render on macOS","OPEN","dariyooo","2026-06-26T00:36:10Z","2026-06-26T00:36:25Z","","bug"
2852,"proguard-android.txt problem","OPEN","Dimitry82","2026-06-19T08:44:47Z","2026-06-22T12:17:15Z","","bug"
2850,"console.log on iOS coerces objects to [object Object] and drops Error message/stack","OPEN","Manuito83","2026-06-18T11:06:29Z","2026-06-18T11:06:29Z","",""
2849,"[Android] HeadlessInAppWebView crashes with ""Must be started before we block!"" when injecting document-start scripts on a cold WebView engine","OPEN","e2755699","2026-06-13T09:54:48Z","2026-07-11T12:02:25Z","",""
2848,"Subject: Security Concern – Usage of setAllowUniversalAccessFromFileURLs(true) in Android SDK","OPEN","bhagirath106","2026-06-12T08:14:43Z","2026-06-12T08:14:43Z","","bug"
2846,"Migrate Plugin to Built-in Kotlin","OPEN","Goulwen","2026-05-27T07:49:21Z","2026-07-30T07:35:21Z","","enhancement"
2843,"[Android] 6.2.0-beta.3: onWebViewCreated never fires on ~50% of release-build cold starts","OPEN","Manuito83","2026-05-25T21:33:46Z","2026-07-11T12:02:24Z","","bug"
2842,"Request: Swift Package Manager (SPM) support for iOS","OPEN","Chadc81","2026-05-23T00:32:53Z","2026-07-30T07:53:47Z","","enhancement"
2841,"Request Swift Package Manager adoption.","OPEN","OmarHasan1996","2026-05-21T07:59:37Z","2026-06-03T02:57:30Z","","bug"
2840,"Windows: native MSVCP140 access violation in flutter_inappwebview_windows during InAppWebView creation (deterministic per machine, two Dart-side mounted-check bugs also identified)","OPEN","palmoni5","2026-05-20T04:32:15Z","2026-06-03T11:21:43Z","",""
2839,"error STL1011: The /await compiler option","OPEN","matteo-convert","2026-05-18T09:10:08Z","2026-07-16T11:54:08Z","","bug"
2837,"Android WebView displays a white screen after device is locked for a long time (approx. 15 minutes), recovers only after touch/scroll.","OPEN","jilingwen","2026-05-13T08:26:26Z","2026-05-13T08:26:26Z","","bug"
2835,"Support additional HTTP headers in WebAuthenticationSession on iOS/macOS","OPEN","schulzp","2026-05-12T07:26:16Z","2026-05-28T10:26:02Z","","enhancement"
2834,"Allow customization or suppression of Sec-CH-UA and Client Hints headers","OPEN","gitmaxu","2026-05-11T07:36:12Z","2026-05-11T07:36:12Z","","enhancement"
2831,"[iOS] iOS 26 Location Prompt not able to close","OPEN","chunghei0116","2026-05-07T03:05:26Z","2026-05-07T03:05:26Z","","bug"
2830,"xcode26.4.1 Compilation error","OPEN","zhangwenxia","2026-05-06T04:04:50Z","2026-05-25T09:27:33Z","","bug"
2826,"macOS WebView native frame drifts with fractional platform view width","OPEN","jlan940482458-cpu","2026-05-04T08:34:37Z","2026-05-04T08:34:37Z","",""
2824,"IOS device issue","OPEN","sonali9421","2026-04-28T09:22:58Z","2026-04-28T09:28:16Z","","bug"
2822,"WebSpace — Your favorite web apps, now on your phone","OPEN","theoden8","2026-04-24T14:42:26Z","2026-04-24T14:47:18Z","","showcase"
2821,"🐛 Bug: BackdropFilter (Glass Blur) does not work over WebView","OPEN","roshTailor","2026-04-23T10:36:34Z","2026-04-23T10:36:34Z","","bug"
2820,"CMake Warning","OPEN","ancjf","2026-04-23T03:06:21Z","2026-04-23T03:06:21Z","","bug"
2819,"[Android] onExitFullscreen never fires when connection is lost during fullscreen video (MediaTek devices)","OPEN","codebyniki","2026-04-22T12:56:12Z","2026-05-05T06:53:49Z","","bug"
2815,"Unable to process request due to missing initial state. ","OPEN","EHMilon","2026-04-16T22:20:32Z","2026-06-10T11:19:41Z","","bug"
2814,"多窗口模式，关掉子窗口，主窗口和应用将无故退出。","OPEN","hjzc","2026-04-12T11:13:38Z","2026-06-06T02:01:48Z","","bug"
2813,"WebAuthenticationSession in MacOs with Tahoe and Xcode 26.4","OPEN","jmmortega","2026-04-07T09:23:24Z","2026-04-16T06:27:22Z","","bug"
2812,"希望增加windows版本页面缩放（pageZoom）","OPEN","hjzc","2026-04-05T12:57:25Z","2026-06-03T02:58:10Z","","enhancement"
2811,"wasm is still not supported","OPEN","ykorshev","2026-04-03T06:37:48Z","2026-04-03T06:37:48Z","","enhancement"
2807,"[Linux] Bundled WPE is not truely self contained","OPEN","MSOB7YY","2026-03-23T19:16:39Z","2026-05-11T01:02:45Z","","bug"
2805,"Add ProxyController support for Windows (WebView2)","OPEN","StarProxima","2026-03-21T16:15:34Z","2026-03-21T16:15:34Z","",""
2804,"Unable to show Passkey prompt when attempting to use Passkey for authentication","OPEN","anderscheow","2026-03-18T01:38:00Z","2026-03-18T01:38:00Z","","bug"
2798,"InAppWebViewController loadData and loadUrl is not working with keepAlive on Linux","OPEN","kuresaru","2026-03-11T17:04:17Z","2026-04-05T13:04:30Z","","bug"
2797,"InAppBrowser does not allow Flutter to receive activity results on android","OPEN","PropFault","2026-03-10T14:52:15Z","2026-03-11T15:11:44Z","","bug"
2796,"webview_flutter_android Build Failure - Pigeon-Generated Classes Not Found","OPEN","EHMilon","2026-03-09T19:31:43Z","2026-03-09T19:31:43Z","","bug"
2795,"在ios中手势冲突","OPEN","xinkong2000","2026-03-08T03:48:04Z","2026-05-07T05:44:36Z","","bug"
2793,"Add bridgeEvents API and typed JavaScript handler helpers (additive, cross-platform)","OPEN","parkwoocheol","2026-03-06T06:24:16Z","2026-03-06T06:24:16Z","","enhancement"
2791,"shouldOverrideUrlLoading always returns true for HTTP/HTTPS URLs, destroying browsing context (window.opener, Referer, Sec-Fetch-Site)","OPEN","nsshopping","2026-03-04T06:53:52Z","2026-03-04T06:53:52Z","","bug"
2789,"[Windows] Regression: desktop click-blocking overlay still occurs after minimize in 6.2.0-beta.3","OPEN","KaithyRookie","2026-03-03T14:00:01Z","2026-06-03T02:58:27Z","","bug"
2788,"[Wondows] run Waring","OPEN","Matkurban","2026-03-02T16:44:02Z","2026-03-02T16:44:02Z","","bug"
2787,"Keyboard changes the viewport size of browser in iOS 17 that makes strange visual behaviors","OPEN","LeandroMoura3","2026-03-02T15:11:01Z","2026-03-02T16:20:06Z","","bug"
2783,"Windows Cookies & Scroll issue","OPEN","jack-selvam","2026-02-24T11:14:54Z","2026-02-24T11:14:54Z","","bug"
2782,"difference appbar in emulator and physical device android","OPEN","Ultrabaldejnik","2026-02-17T10:03:09Z","2026-02-17T10:16:18Z","","bug"
2780,"[Linux] Compilation error: undefined reference to `webkit_web_view_get_theme_color` on WebKit < 2.50","OPEN","sseu-buhzzi","2026-02-15T11:48:33Z","2026-02-15T11:48:33Z","","bug"
2778,"[Linux] crash on arch linux","OPEN","aayush2622","2026-02-07T12:59:32Z","2026-06-24T07:00:32Z","","bug"
2769,"Smart Camera","OPEN","AbhyanshAc","2026-01-22T14:34:53Z","2026-01-22T14:36:22Z","","showcase"
2763,"[iOS] onCreateWindow return value ignored","OPEN","ray007","2026-01-15T13:49:18Z","2026-01-15T13:49:18Z","","bug"
2762,"Consider requiring Flutter 3.38.6+ or adding a warning about iOS touch issues","OPEN","JulioRennan","2026-01-12T13:20:36Z","2026-01-12T13:20:55Z","","enhancement"
2760,"Option to enable pull-to-refresh in windows with no scroll-bar","OPEN","rowan-gray","2026-01-05T09:04:59Z","2026-01-05T09:04:59Z","","enhancement"
2757,"analysis failed on pub.dev (pana)","OPEN","note11g","2025-12-30T06:50:24Z","2026-06-03T02:58:10Z","","bug"
2753,"[iOS] onReceivedError is not triggered on iframe errors.","OPEN","darkstarx","2025-12-17T18:32:18Z","2025-12-17T18:32:18Z","","bug"
2752,"inappwebview crashes on some Windows computers","OPEN","826327700","2025-12-16T13:56:35Z","2026-06-03T02:58:27Z","","bug"
2745,"Replace eval() with a secure alternative","OPEN","Menaitech","2025-12-07T10:42:10Z","2025-12-07T10:45:02Z","","bug"
2742,"Flickering when switching between tabs in TabBarView when there is a InAppWebView","OPEN","Evgenia-bit","2025-11-26T12:23:22Z","2025-12-16T08:54:00Z","","bug"
2741,"upgradeKnownHostsToHTTPS ""unrecognized selector""","OPEN","kwang87","2025-11-25T01:11:02Z","2025-11-25T01:11:02Z","","bug"
2737,"[WEB] onLoadStart/onLoadStop always return initialUrl – unable to get actual URL after navigation","OPEN","amervelic","2025-11-20T17:55:56Z","2025-11-20T17:55:56Z","","bug"
2736,"[Windows] Focus issues in HTML INPUTs","OPEN","jmgeffroy66","2025-11-19T06:41:38Z","2026-06-03T02:58:27Z","","bug"
2735,"[windows] with solution! cannot make transparentBackground","OPEN","iiiSnow","2025-11-12T05:04:39Z","2026-06-03T02:58:10Z","","bug"
2733,"[Windows]Application Crash on Process Exit When Using flutter_inappwebview Plugin on Windows","OPEN","li986726488-dotcom","2025-10-30T04:08:38Z","2026-06-03T02:58:10Z","","bug"
2732,"takeScreenshot() returns a black image when capturing a video frame.","OPEN","diegoVegaLoro","2025-10-29T16:58:19Z","2025-10-29T16:58:19Z","","bug"
2730,"CreateWindowAction.targetFrame is always null","OPEN","EnriqueMx","2025-10-25T17:58:47Z","2025-10-25T17:58:47Z","","bug"
2728,"[Android] Avoid unsupported navigation/status bar color APIs on Android 15","OPEN","ndenissov","2025-10-24T06:52:09Z","2026-06-03T02:57:54Z","","bug"
2727,"On iOS 26.0 - After using Flutter showModalBottomSheet/showDialog, the page becomes unresponsive","OPEN","AngeloAvv","2025-10-20T14:59:05Z","2026-03-23T05:47:39Z","","bug"
2725,"[Windows] WebViewChannelDelegate::getTitle() incorrectly calls getUrl() instead of getTitle()","OPEN","shenzhenMirren","2025-10-15T11:22:00Z","2026-06-03T02:58:10Z","","bug"
2723,"[iOS 26] flutter_inappwebview 6.2.0-beta – WebView inside ListView / ScrollView stops responding to href clicks after scrolling","OPEN","vishalbaps","2025-10-14T13:13:23Z","2026-03-06T10:37:24Z","","bug"
2721,"Webview does not adapt with I change the accessibility (Display size) from settings","OPEN","hashirshoaeb","2025-10-13T11:48:42Z","2025-10-13T11:50:12Z","","bug"
2720,"load local html, get the CANNOT_CONNECT_TO_HOST when resumed from background on iOS platflorm.","OPEN","ondev","2025-10-13T09:23:37Z","2025-12-04T08:45:59Z","","bug"
2718,"Native crash in WebView thread (ANR)[MyCookieManager.deleteAllCookies].","OPEN","Hritik602","2025-10-08T11:57:13Z","2025-10-08T12:05:12Z","","bug"
2717,"onReceivedClientCertRequest Not Firing on Windows","OPEN","kttary","2025-10-08T10:22:49Z","2025-10-08T10:22:49Z","","bug"
2716,"FlowFerry","OPEN","rivertwilight","2025-10-07T04:21:45Z","2025-10-07T04:21:45Z","","showcase"
2713,"WebView Touch Not Working After Drawer Closes on iOS 26","OPEN","divyeshgohil85","2025-09-29T07:08:18Z","2025-11-13T14:34:03Z","","bug"
2712,"Add DNS-level request interception and blocking API (Brave-like ad/tracker blocking)","OPEN","gitmaxu","2025-09-26T04:22:06Z","2025-09-26T04:31:35Z","","enhancement"
2711,"[iOS] MissingPluginException: MissingPluginException(No implementation found for method goBack on channel com.pichillilorenzo/flutter_inappwebview_5)","OPEN","T-moz","2025-09-25T14:59:56Z","2025-09-25T14:59:56Z","","bug"
2710,"[iOS 26] Fullscreen video turns black/unresponsive after seek/time change; app hangs/crashes (Flutter 3.27.4, flutter_inappwebview 6.2.0-beta.2 or lutter_inappwebview 6.1.5)","OPEN","alphaSoft99","2025-09-25T10:12:21Z","2025-09-25T10:12:21Z","","bug"
2709,"stackoverflow after use AndroidInternalStoragePathHandler","OPEN","2674794835","2025-09-25T06:57:32Z","2025-09-25T06:57:32Z","","bug"
2707,"macOS 26: Crash in AppKit → NSToolbar layout when InAppBrowser window is closing","OPEN","huytran03101999","2025-09-24T09:56:22Z","2025-12-18T01:41:19Z","","bug"
2706,"How to intercept input operations in H5?","OPEN","Dream1996","2025-09-20T08:04:22Z","2025-09-20T08:04:22Z","","enhancement"
2703,"Support 16 KB Page Size as per Android New Policy","OPEN","rahul108-tech","2025-09-18T07:20:32Z","2026-06-03T09:00:28Z","","enhancement"
2702,"[Web] Submitting a form reloads the page, unlike on Android/iOS","OPEN","Velkamhell97","2025-09-17T18:14:51Z","2025-09-17T18:27:49Z","","bug"
2700,"Bug Report / Security Concern: Deprecated setAllowUniversalAccessFromFileURLs Used (Insecure File Access)","OPEN","AkashVyasCygnet","2025-09-16T09:26:49Z","2026-06-03T02:57:30Z","","bug"
2698,"Android System WebView (com.google.android.webview) - Crash WebView - Поломка Веб.","OPEN","TGhjkrtgdfgh","2025-09-15T05:06:07Z","2025-09-15T05:06:07Z","","bug"
2697,"Content area is distorted when switching to multi-window mode on some Android devices.","OPEN","SoliEstre","2025-09-15T02:46:06Z","2026-01-27T01:15:31Z","","bug"
2695,"host not resolved error ocurred","OPEN","kamlesh-flutter-india","2025-09-09T11:52:19Z","2025-09-09T11:52:19Z","","bug"
2692,"[windows] cannot click desktop even if window is minimized","OPEN","ganwumeng","2025-09-07T14:24:46Z","2026-06-03T02:58:27Z","","bug"
2691,"Ever planning to fix this warning ?","OPEN","stan-at-work","2025-09-05T09:35:35Z","2025-09-05T09:35:35Z","","enhancement"
