"number","title","state","author","createdAt","updatedAt","assignees","labels"
2881,"linux: re-import DMA-BUF into Flutter's EGLDisplay per frame","OPEN","zhupengjia","2026-08-04T09:24:58Z","2026-08-05T16:02:34Z","","iOS;windows;macOS;linux"
2879,"fix(ios, macos): terminate PrintJS assignment with a semicolon","OPEN","anies1212","2026-07-29T18:46:32Z","2026-07-29T18:46:35Z","","iOS;macOS"
2876,"fix(windows): prevent crash on unknown WebView2 permission resources","OPEN","Zeinab-Kouhkan","2026-07-21T10:53:04Z","2026-07-21T10:53:08Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2874,"Resolve: Restrict FileProvider paths to follow Android security guidance","OPEN","waleedf112","2026-07-21T10:40:43Z","2026-07-21T10:40:46Z","","android;plugin;web"
2871,"[flutter_inappwebview_ios] Fix callAsyncJavaScript crashes before iOS 18","OPEN","liu731","2026-07-17T02:06:06Z","2026-07-17T02:21:07Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2870,"fix macos with xcode 26.6 related to","OPEN","heralight","2026-07-16T12:14:07Z","2026-07-16T12:14:11Z","","iOS;macOS"
2869,"Windows: VS 2026 / MSVC 14.5x build fixes","OPEN","westito","2026-07-16T12:03:06Z","2026-07-16T12:03:09Z","","windows;linux"
2866,"feat: add NavigationActionPolicy.ALLOW_WITHOUT_TRYING_APP_LINK to skip Universal Link app handoff","OPEN","dankinsoid","2026-07-10T05:31:25Z","2026-07-10T05:31:29Z","","android;iOS;documentation;windows;macOS;linux;platform_interface;plugin;web"
2864,"Android: add InAppWebViewController.setBackgroundColor to override the WebView background","OPEN","Manuito83","2026-07-05T06:53:29Z","2026-07-05T06:53:33Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2860,"iOS: restore scrollView.contentInset on keyboardWillHide (#1947 regression)","OPEN","Manuito83","2026-06-27T20:58:15Z","2026-06-27T20:58:19Z","","iOS;macOS"
2857,"Fix nullable Android context menu title","OPEN","changs97","2026-06-26T05:32:00Z","2026-06-26T05:32:03Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2853,"[flutter_inappwebview_ios] Fix requestFocus() so document focus works inside Flutter platform views","OPEN","Manuito83","2026-06-21T11:32:06Z","2026-06-21T11:32:09Z","","iOS;documentation;macOS"
2851,"[iOS] Serialize console arguments so objects and Errors keep their data","OPEN","Manuito83","2026-06-18T14:21:04Z","2026-06-28T09:20:24Z","","iOS;macOS"
2844,"[Android] Defer JS bridge native registrations off platform-view attach","OPEN","Manuito83","2026-05-25T21:46:16Z","2026-07-11T12:02:26Z","","android"
2838,"fix(windows): prevent crash on app exit caused by WinRT COM release d…","OPEN","Y-PLONI","2026-05-17T05:30:02Z","2026-08-05T12:34:22Z","","android;iOS;documentation;windows;macOS;linux;platform_interface;plugin;web"
2836,"Add support for WebAuthenticationSession's additionalHeaderFields (iOS 17.4+, macOS 14.4+)","OPEN","schulzp","2026-05-12T07:40:45Z","2026-05-12T08:08:23Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2832,"Add WebkitGTK for linux","OPEN","deep-thought4343","2026-05-10T05:53:31Z","2026-05-13T10:25:00Z","","android;iOS;windows;macOS;linux;web"
2829,"Use nlohmann_json from system when compiling flutter_inappwebview_linux","OPEN","iWisp360","2026-05-06T01:54:30Z","2026-05-06T01:54:33Z","","windows;linux;plugin"
2828,"Fix macOS WebView frame drift with fractional platform view sizes","OPEN","jlan940482458-cpu","2026-05-04T08:41:35Z","2026-05-04T08:41:38Z","","iOS;macOS"
2825,"Add container API: InAppWebViewSettings.containerId, ContainerController, per-container proxy","OPEN","theoden8","2026-04-28T15:24:30Z","2026-06-21T18:07:20Z","","android;iOS;documentation;windows;macOS;linux;platform_interface;plugin;web"
2823,"[flutter_inappwebview_android] Add audio intent","OPEN","PrimozRatej","2026-04-27T20:09:48Z","2026-06-03T05:16:14Z","","android"
2817,"[flutter_inappwebview_android] Fix Android Java deprecation warnings (batch 1)","OPEN","Khairul989","2026-04-21T03:10:55Z","2026-06-03T03:29:57Z","","android;documentation"
